customer_id,customer_name,country,loyalty_program
546127678,Jason Johnson,USA,Silver
942019569,Carlos Pitts,Germany,Silver
166627642,Dennis Torres,Germany,Basic
744937341,Tracy Ray,Germany,Silver
47914391,Russell Phillips,Mexico,Bronze
773649234,Shannon Pugh,France,Platinum
656621841,Mark Ramirez,UK,Gold
842599226,Thomas Melendez,Brazil,Basic
257805216,Dylan Donovan,UK,Platinum
843211135,Debra Walker,Brazil,Platinum
209323285,Lauren Brown,Italy,Silver
613483158,Devon Holt,Brazil,Bronze
303550088,Mark Foster,Mexico,Bronze
450533634,Don Robinson,Germany,Gold
861345542,Renee Thomas,Germany,Gold
57027635,Natalie Lawrence,Brazil,Gold
596433590,Andrew Mata,Spain,Silver
554953485,Deborah Flores,Spain,Basic
820390458,Jennifer Ortiz,Germany,Basic
973065142,Bryan Richard,Germany,Gold
99476695,Jill Baker,France,Gold
950863985,Cheryl Mitchell,Italy,Platinum
446492166,Brian Miller,USA,Bronze
402538092,Terry Luna MD,France,Bronze
88623171,Charles Cummings,Italy,Basic
343185272,Charles Martinez,Spain,Gold
698889971,Michael Williams,Italy,Gold
148746438,Jason Williams,USA,Basic
891949719,Amanda Butler,Brazil,Silver
150027517,Amy Clark,Brazil,Bronze
6638424,Daniel Wright,Spain,Basic
232557515,Maria Wise,Germany,Bronze
781862406,Bridget Pratt,Mexico,Basic
310346714,Christopher King,France,Bronze
52270577,Jennifer Gould,France,Bronze
853442674,Denise Phillips,Brazil,Basic
899386592,Stephanie Ellis,Brazil,Silver
18647321,Shannon Rush,France,Silver
313750915,Ann Vang,Mexico,Basic
379833337,Joshua Jackson,France,Silver
202126777,Mark Pacheco,Spain,Bronze
388195336,Steven Francis,Spain,Platinum
585203557,Logan Bush,USA,Bronze
505803700,Ronald Simmons Jr.,USA,Silver
401830389,Kyle Phillips,UK,Silver
384426624,Michele Miller,Spain,Bronze
787989426,Holly Reid,Spain,Gold
790401015,Pamela Patterson,Italy,Basic
379278218,Jodi Cummings,Italy,Gold
189000513,Brian Crawford,Brazil,Platinum
514818935,Jason Adams,Germany,Gold
68753684,Stephen Webb,Brazil,Basic
217456682,Robert Williams,USA,Gold
952110186,Alan Avila,USA,Bronze
333941445,James Smith,Mexico,Platinum
584074770,William Parks,Brazil,Basic
809839964,Nathan Smith,France,Basic
926714196,Brittany Davis,USA,Gold
357401418,Michael Morton,UK,Basic
396157577,Kristi Chandler,Mexico,Gold
799120571,Alyssa Salinas,Brazil,Gold
416156661,Sabrina Nguyen,Italy,Platinum
533794158,Nicole Young,Brazil,Bronze
857084565,Sherri Newton,UK,Gold
781697625,Daniel Maynard,Mexico,Basic
647879296,Diane Mcclure DDS,Germany,Bronze
345898148,Maria Bauer,Spain,Basic
710656613,Robert Garcia,UK,Bronze
648060047,Betty Morales,Mexico,Basic
477642996,Danielle Carroll DVM,Italy,Bronze
781411013,Christopher Brown,Italy,Silver
468013808,Rachel Nelson,UK,Silver
850842840,Craig Jones,USA,Basic
685523874,Christopher Ross,Mexico,Bronze
861170255,Ethan Ho,Germany,Platinum
154308283,Karen Robinson,Brazil,Basic
73191273,Kristen Holmes,France,Gold
394342201,Caroline Hartman,Italy,Bronze
610074302,Danielle Ward,USA,Silver
730137330,Kristi Acosta,Brazil,Platinum
400446327,Julie Hamilton,Brazil,Gold
617243819,Jeffrey Wood,Germany,Bronze
428385805,Robyn Mooney,Italy,Silver
269018471,Nicole Jones,Spain,Basic
200767568,Randall Smith,Brazil,Bronze
981908797,Bruce Tate,Spain,Basic
280484009,Edward Sutton,Brazil,Basic
657998124,Brian Odonnell,UK,Silver
528422192,Kristin Patterson,France,Basic
916715259,Tara Mcguire,Spain,Bronze
965949256,Robert Orozco,Brazil,Platinum
871281936,Zachary Wolf,Italy,Silver
762863296,William Porter,Spain,Bronze
312774120,Christopher Solomon,UK,Gold
765299201,Matthew Anderson,Germany,Gold
547272321,Mark Roberts,France,Basic
216801027,Melissa White,Germany,Basic
531452018,Tammy Jones DVM,USA,Bronze
615478186,Abigail Sandoval,Italy,Bronze
593326390,Nicholas Reynolds,Germany,Silver
93573170,Lauren Martinez,Spain,Bronze
770801588,Jodi Cruz,Brazil,Bronze
826884151,Gail Gonzalez,Mexico,Gold
80189225,Jenna Horton,Germany,Platinum
690705810,Gregory Williams,Spain,Bronze
731261466,Joseph Lozano,Italy,Basic
891189659,Amanda Hamilton,Germany,Gold
139548086,Meagan Arellano,Mexico,Bronze
933235137,Anthony Brown,USA,Gold
557307931,Andrea Norman,Germany,Bronze
174910700,Rose Morgan,Italy,Platinum
243096876,Taylor Garcia,Italy,Platinum
558162259,Haley Cardenas,UK,Gold
270085407,Mrs. Jennifer Jarvis,France,Silver
592461470,Dennis Pena,UK,Basic
326155441,Thomas Jensen,Spain,Bronze
182071418,Sara Scott,Germany,Basic
671529419,Sarah Harrell,Italy,Gold
606180256,Sherri Parker MD,USA,Gold
31465806,Jeremy Proctor,Spain,Basic
689755699,Evan Erickson,UK,Silver
824515952,Patricia Warren,Mexico,Silver
33519237,Alejandro Liu,Brazil,Gold
586809361,Micheal White,UK,Silver
325371087,James Arnold,Brazil,Basic
867884723,Cynthia Luna,Mexico,Basic
79354184,Edward Kelly,USA,Basic
447270451,David Davila,Brazil,Bronze
366278987,Patrick Cain,Germany,Bronze
772336275,Russell Arroyo,Italy,Silver
925252660,Dana Gonzalez,Italy,Platinum
